x,ePR,eP,gP,aP,eBR,eB,gB,mB,eqmC,eqmP,eqmB,eqmA
0.5,0.875,0.63,0.259,0.151,0.6,0.55,1.046,0.14,1.042,0.9453,-0.0,1.987
0.5,0.875,0.63,0.259,0.201,0.6,0.55,1.046,0.14,0.7827,0.7104,-0.0,1.493
0.5,0.875,0.63,0.259,0.251,0.6,0.55,1.046,0.14,0.627,0.569,-0.0,1.195
0.5,0.875,0.63,0.259,0.301,0.6,0.55,1.046,0.14,0.523,0.4744,-0.0,0.997
0.5,0.875,0.63,0.259,0.351,0.6,0.55,1.046,0.14,0.4482,0.4067,-0.0,0.855
0.5,0.875,0.63,0.259,0.401,0.6,0.55,1.046,0.14,0.3923,0.356,-0.0,0.7485
0.5,0.875,0.63,0.259,0.451,0.6,0.55,1.046,0.14,0.3489,0.3167,-0.0,0.6655
0.5,0.875,0.63,0.259,0.501,0.6,0.55,1.046,0.14,0.3142,0.285,-0.0,0.599
0.0,0.875,0.63,0.259,0.001,0.6,0.55,8.414,0.14,0.05045,142.8,5772.0,5916.0
0.0,0.875,0.63,0.259,0.051,0.6,0.55,8.414,0.14,0.05045,2.799,113.25,116.06
0.0,0.875,0.63,0.259,0.101,0.6,0.55,8.414,0.14,0.05045,1.413,57.2,58.62
0.0,0.875,0.63,0.259,0.151,0.6,0.55,8.414,0.14,0.05045,0.9453,38.25,39.25
0.0,0.875,0.63,0.259,0.201,0.6,0.55,8.414,0.14,0.05045,0.7104,28.73,29.48
0.0,0.875,0.63,0.259,0.251,0.6,0.55,8.414,0.14,0.05045,0.569,23.0,23.62
0.0,0.875,0.63,0.259,0.301,0.6,0.55,8.414,0.14,0.05045,0.4744,19.19,19.7
0.0,0.875,0.63,0.259,0.351,0.6,0.55,8.414,0.14,0.05045,0.4067,16.45,16.9
0.0,0.875,0.63,0.259,0.401,0.6,0.55,8.414,0.14,0.05045,0.356,14.4,14.805
0.0,0.875,0.63,0.259,0.451,0.6,0.55,8.414,0.14,0.05045,0.3167,12.805,13.17
0.0,0.875,0.63,0.259,0.501,0.6,0.55,8.414,0.14,0.05045,0.285,11.52,11.86
0.05,0.875,0.63,0.259,0.001,0.6,0.55,8.414,0.14,0.05045,142.8,5772.0,5916.0
0.05,0.875,0.63,0.259,0.051,0.6,0.55,8.414,0.14,0.05045,2.799,113.06,115.9
0.05,0.875,0.63,0.259,0.101,0.6,0.55,8.414,0.14,0.05045,1.413,57.0,58.44
0.05,0.875,0.63,0.259,0.151,0.6,0.55,8.414,0.14,0.05045,0.9453,38.06,39.06
0.05,0.875,0.63,0.259,0.201,0.6,0.55,8.414,0.14,0.05045,0.7104,28.55,29.3
0.05,0.875,0.63,0.259,0.251,0.6,0.55,8.414,0.14,0.05045,0.569,22.83,23.44
0.05,0.875,0.63,0.259,0.301,0.6,0.55,8.414,0.14,0.05045,0.4744,19.0,19.53
0.05,0.875,0.63,0.259,0.351,0.6,0.55,8.414,0.14,0.05045,0.4067,16.27,16.72
0.05,0.875,0.63,0.259,0.401,0.6,0.55,8.414,0.14,0.05045,0.356,14.22,14.625
0.05,0.875,0.63,0.259,0.451,0.6,0.55,8.414,0.14,0.05045,0.3167,12.62,12.984
0.05,0.875,0.63,0.259,0.501,0.6,0.55,8.414,0.14,0.05045,0.285,11.34,11.68
0.1,0.875,0.63,0.259,0.001,0.6,0.55,8.414,0.14,0.05045,142.8,5772.0,5916.0
0.1,0.875,0.63,0.259,0.051,0.6,0.55,8.414,0.14,0.05045,2.799,112.9,115.7
0.1,0.875,0.63,0.259,0.101,0.6,0.55,8.414,0.14,0.05045,1.413,56.8,58.28
0.1,0.875,0.63,0.259,0.151,0.6,0.55,8.414,0.14,0.05045,0.9453,37.88,38.88
0.1,0.875,0.63,0.259,0.201,0.6,0.55,8.414,0.14,0.05045,0.7104,28.36,29.12
0.1,0.875,0.63,0.259,0.251,0.6,0.55,8.414,0.14,0.05045,0.569,22.64,23.25
0.1,0.875,0.63,0.259,0.301,0.6,0.55,8.414,0.14,0.05045,0.4744,18.81,19.34
0.1,0.875,0.63,0.259,0.351,0.6,0.55,8.414,0.14,0.05045,0.4067,16.08,16.53
0.1,0.875,0.63,0.259,0.401,0.6,0.55,8.414,0.14,0.05045,0.356,14.03,14.44
0.1,0.875,0.63,0.259,0.451,0.6,0.55,8.414,0.14,0.05045,0.3167,12.43,12.8
0.1,0.875,0.63,0.259,0.501,0.6,0.55,8.414,0.14,0.05045,0.285,11.16,11.49
0.15,0.875,0.63,0.259,0.001,0.6,0.55,8.414,0.14,0.05045,142.8,5772.0,5916.0
0.15,0.875,0.63,0.259,0.051,0.6,0.55,8.414,0.14,0.05045,2.799,112.7,115.5
0.15,0.875,0.63,0.259,0.101,0.6,0.55,8.414,0.14,0.05045,1.413,56.62,58.1
0.15,0.875,0.63,0.259,0.151,0.6,0.55,8.414,0.14,0.05045,0.9453,37.7,38.7
